VIN,CustomerID,Start_date,Vendor_name,Part_price,Part_number,Quantity
01WR7E2ZMCD216522,68,2021-8-24,Betatech,51.09,NM-PACBS0165,2
01WR7E2ZMCD216522,68,2021-8-24,Plexzap,27.02,ZN-BAEW0036,4
01WR7E2ZMCD216522,68,2021-8-24,Funholding,72.62,ZN-PACBS0178,3
01WR7E2ZMCD216522,167,2021-8-28,Nam-zim,76.07,FG-EAELASS0084,1
01WR7E2ZMCD216522,167,2021-8-28,Toughzap,71.04,FG-PACBS0169,1
01WR7E2ZMCD216522,167,2021-8-28,Blackzim,5.25,PP-10141,2
01WR7E2ZMCD216522,167,2021-8-28,Funholding,51.6,PP-PACBS0189,4
01WR7E2ZMCD216522,167,2021-8-28,Zathunicon,61.21,TP-EAEGAM0064,2
01WR7E2ZMCD216522,92,2021-9-13,Funholding,44.42,BH-EAEGAM0067,1
01WR7E2ZMCD216522,92,2021-9-13,Toughzap,54.77,BH-PACBS0164,4
01WR7E2ZMCD216522,92,2021-9-13,Blackzim,19.09,FH-BAE0010,3
01WR7E2ZMCD216522,92,2021-9-13,Zathunicon,1.34,FH-PACBS0185,1
01WR7E2ZMCD216522,92,2021-9-13,Zathunicon,65.55,NM-EAELASS0089,3
01WR7E2ZMCD216522,92,2021-9-13,Blackzim,37.97,NM-EAEWH0129,2
01WR7E2ZMCD216522,92,2021-9-13,Funholding,69.52,PP-EAEIS0079,1
01WR7E2ZMCD216522,92,2021-9-13,Nam-zim,75.37,PP-PACBS0167,3
01WR7E2ZMCD216522,92,2021-9-13,Funholding,56.79,ZN-EAEM0143,4
06XZOKN8UAY309163,134,2020-3-10,Zathunicon,19.89,ZN-EAEIS0082,3
06XZOKN8UAY309163,134,2020-3-10,Zathunicon,4.43,ZN-EAES0106,2
06XZOKN8UAY309163,31,2020-6-12,Nam-zim,30.48,TP-EAELASS0090,3
06XZOKN8UAY309163,67,2020-8-11,Blackzim,33.52,FH-BAE0018,4
06XZOKN8UAY309163,67,2020-8-11,Finhigh,27.95,NM-EAELASS0087,2
06XZOKN8UAY309163,67,2020-8-11,Betatech,12.58,ZN-EAEAD0041,4
06XZOKN8UAY309163,67,2020-8-11,Funholding,0.12,ZN-EAEAD0046,2
06XZOKN8UAY309163,67,2020-8-11,Nam-zim,1.42,ZN-EAEIS0081,4
06XZOKN8UAY309163,67,2020-8-11,Betatech,19.6,ZN-PACBS0195,4
06XZOKN8UAY309163,78,2021-2-28,Funholding,25.63,FG-PACBS0193,4
06XZOKN8UAY309163,77,2021-3-29,Funholding,9.74,NM-PACBS0189,1
06XZOKN8UAY309163,77,2021-3-29,Zathunicon,31.85,ZN-BAE0006,1
06XZOKN8UAY309163,40,2021-4-21,Zathunicon,6.12,NM-BAE0007,2
06XZOKN8UAY309163,40,2021-4-21,Funholding,9.13,NM-EAEESS0058,3
06XZOKN8UAY309163,40,2021-4-21,Plexzap,22.09,PP-PACBS0196,1
06XZOKN8UAY309163,39,2021-7-17,Nam-zim,13.16,ZN-EAEM0138,3
06XZOKN8UAY309163,39,2021-7-17,Toughzap,6.7,ZN-ICS0161,1
073HOEWCHAF741925,1,2021-4-8,Blackzim,65.71,FG-BAEW0034,4
073HOEWCHAF741925,1,2021-4-8,Betatech,117.93,FH-EAECS0051,4
073HOEWCHAF741925,1,2021-4-8,Plexzap,54.99,FH-EAEM0142,4
073HOEWCHAF741925,1,2021-4-8,Nam-zim,88.14,TP-EAES0113,1
073HOEWCHAF741925,91,2021-4-24,Nam-zim,129.62,BM-EAEM0145,2
073HOEWCHAF741925,91,2021-4-24,Nam-zim,31.17,FH-EAEM0150,3
073HOEWCHAF741925,91,2021-4-24,Nam-zim,32.18,FH-PACBS0190,3
073HOEWCHAF741925,150,2021-6-19,Toughzap,67.44,FH-BAE0016,1
073HOEWCHAF741925,150,2021-6-19,Blackzim,36.51,FH-ICS0158,4
073HOEWCHAF741925,150,2021-6-19,Blackzim,81.36,NM-EAEGAM0068,4
073HOEWCHAF741925,150,2021-6-19,Toughzap,78.18,NM-PACBS0191,1
073HOEWCHAF741925,150,2021-6-19,Plexzap,112.82,TP-EAEESS0055,2
073HOEWCHAF741925,150,2021-6-19,Finhigh,32.98,ZN-BAED0032,2
073HOEWCHAF741925,150,2021-6-19,Zathunicon,65.75,ZN-BAEW0034,4
073HOEWCHAF741925,90,2021-7-19,Finhigh,63.36,NM-BAE0010,2
073HOEWCHAF741925,90,2021-7-19,Zathunicon,41.74,NM-PACBS0166,4
073HOEWCHAF741925,90,2021-7-19,Plexzap,82.02,ZN-EAES0112,3
07TSE0YYIZF380247,35,2020-11-4,Funholding,44.89,BM-BAE0011,1
07TSE0YYIZF380247,11,2020-11-15,Blackzim,27.46,PP-EAEGAM0069,1
07TSE0YYIZF380247,11,2020-11-15,Betatech,6.08,PP-EAEGAM0074,4
07TSE0YYIZF380247,11,2020-11-15,Plexzap,50.21,TP-BAE0008,3
07TSE0YYIZF380247,11,2020-11-15,Zathunicon,55.75,TP-EAEIS0078,4
07TSE0YYIZF380247,3,2020-12-24,Blackzim,57.5,BH-EAEM0147,1
07TSE0YYIZF380247,3,2020-12-24,Finhigh,17.72,BH-EAEM0149,1
07TSE0YYIZF380247,3,2020-12-24,Blackzim,46.03,NM-EAES0110,2
07TSE0YYIZF380247,3,2020-12-24,Blackzim,1.56,NM-PACBS0179,3
07TSE0YYIZF380247,197,2021-6-8,Blackzim,0.75,FG-EAECS0050,3
07TSE0YYIZF380247,197,2021-6-8,Toughzap,31.55,NM-BAED0025,3
07TSE0YYIZF380247,197,2021-6-8,Blackzim,42.11,NM-PACBS0176,2
07TSE0YYIZF380247,127,2021-7-30,Funholding,44.51,BH-EAELASS0086,1
07TSE0YYIZF380247,127,2021-7-30,Finhigh,12.68,BH-EAEM0144,2
07TSE0YYIZF380247,127,2021-7-30,Zathunicon,28.48,BH-EAEWH0129,1
07TSE0YYIZF380247,127,2021-7-30,Zathunicon,55.24,BH-PACBS0167,2
07TSE0YYIZF380247,127,2021-7-30,Zathunicon,17.92,BM-EAELASS0086,1
07TSE0YYIZF380247,127,2021-7-30,Blackzim,21.92,ZN-EAEM0133,4
07TSE0YYIZF380247,127,2021-7-30,Blackzim,47.23,ZN-EAES0101,2
07TSE0YYIZF380247,155,2021-8-22,Betatech,46.41,BM-BAE0004,1
07TSE0YYIZF380247,155,2021-8-22,Zathunicon,39.49,BM-EAEM0143,2
07TSE0YYIZF380247,155,2021-8-22,Toughzap,20.02,FH-BAED0024,2
07TSE0YYIZF380247,155,2021-8-22,Toughzap,65.96,FH-BAED0028,3
07TSE0YYIZF380247,155,2021-8-22,Toughzap,4.44,PP-EAEM0132,4
07TSE0YYIZF380247,155,2021-8-22,Betatech,8.07,PP-ICS0158,3
0BT52YYB1L8670257,42,2020-12-2,Plexzap,367.52,BH-EAEAD0047,3
0BT52YYB1L8670257,42,2020-12-2,Funholding,125.59,FH-BAED0030,2
0BT52YYB1L8670257,42,2020-12-2,Toughzap,60.54,FH-BAED0032,4
0BT52YYB1L8670257,42,2020-12-2,Funholding,21.38,ZN-BAE0020,3
0BT52YYB1L8670257,42,2020-12-2,Nam-zim,344.16,ZN-BAED0029,1
0BT52YYB1L8670257,157,2021-3-18,Blackzim,387.67,BM-EAES0093,4
0BT52YYB1L8670257,157,2021-3-18,Finhigh,90.98,BM-EAES0113,1
0EPPRCZZ8NW751990,123,2021-3-25,Nam-zim,61.99,BH-EAEGAM0074,2
0EPPRCZZ8NW751990,123,2021-3-25,Betatech,36.51,BH-ICS0158,3
0EPPRCZZ8NW751990,123,2021-3-25,Nam-zim,120.26,BM-EAEGAM0062,2
0EPPRCZZ8NW751990,123,2021-3-25,Zathunicon,132.56,BM-EAEM0150,1
0EPPRCZZ8NW751990,123,2021-3-25,Toughzap,61.85,BM-ICS0156,2
0EPPRCZZ8NW751990,147,2021-5-28,Funholding,37.67,FH-EAEM0150,4
0EPPRCZZ8NW751990,147,2021-5-28,Betatech,87.94,TP-EAEIS0077,4
0EPPRCZZ8NW751990,147,2021-5-28,Betatech,96.23,TP-EAEM0146,1
0EPPRCZZ8NW751990,147,2021-5-28,Plexzap,18.12,ZN-EAESS0117,1
0EPPRCZZ8NW751990,152,2021-7-13,Zathunicon,90.14,FH-BAE0020,3
0EPPRCZZ8NW751990,152,2021-7-13,Toughzap,72.19,FH-EAESS0116,2
0EPPRCZZ8NW751990,53,2021-8-13,Finhigh,75.68,FH-EAEM0144,1
0EPPRCZZ8NW751990,53,2021-8-13,Plexzap,134.39,FH-EAES0102,4
0EPPRCZZ8NW751990,53,2021-8-13,Toughzap,86.47,PP-BAE0002,2
0EPPRCZZ8NW751990,53,2021-8-13,Betatech,86.87,PP-BAED0024,1
0I0Q707FJ2E520815,108,2021-4-1,Zathunicon,21.67,FG-EAEAD0047,2
0I0Q707FJ2E520815,108,2021-4-1,Toughzap,14.02,FG-PACBS0177,2
0I0Q707FJ2E520815,108,2021-4-1,Toughzap,41.09,PP-BAED0028,2
0I0Q707FJ2E520815,108,2021-4-1,Zathunicon,13.17,PP-EAES0104,4
0I0Q707FJ2E520815,122,2021-4-20,Betatech,30.08,BH-BAE0016,4
0I0Q707FJ2E520815,122,2021-4-20,Finhigh,23.36,PP-EAEGAM0064,4
0I0Q707FJ2E520815,122,2021-4-20,Zathunicon,3.78,PP-ICS0157,1
0I0Q707FJ2E520815,122,2021-4-20,Nam-zim,43.67,ZN-ICS0162,2
0I0Q707FJ2E520815,122,2021-4-20,Blackzim,43.39,ZN-IFCAP0152,3
0I0Q707FJ2E520815,182,2021-4-27,Toughzap,28.76,NM-EAEM0142,4
0I0Q707FJ2E520815,182,2021-4-27,Plexzap,6.01,TP-EAEESS0056,2
0I0Q707FJ2E520815,182,2021-4-27,Finhigh,45.87,TP-PACBS0173,4
0I0Q707FJ2E520815,120,2021-9-3,Plexzap,36.02,FG-BAE0014,3
0I0Q707FJ2E520815,120,2021-9-3,Betatech,40.24,NM-10141,1
0I0Q707FJ2E520815,120,2021-9-3,Funholding,37.73,NM-EAEGAM0063,3
0I0Q707FJ2E520815,136,2021-9-9,Plexzap,16.35,BH-EAESS0117,3
0I0Q707FJ2E520815,136,2021-9-9,Toughzap,13.88,BH-PACBS0169,1
0I0Q707FJ2E520815,136,2021-9-9,Funholding,39.22,FH-EAES0093,1
0I0Q707FJ2E520815,136,2021-9-9,Betatech,7.93,NM-BAE0002,1
0I0Q707FJ2E520815,136,2021-9-9,Funholding,34.54,TP-ICS0154,3
0I0Q707FJ2E520815,136,2021-9-9,Toughzap,12.54,TP-PACBS0191,2
0I0Q707FJ2E520815,79,2021-9-15,Funholding,18.73,FG-EAEM0146,1
0I0Q707FJ2E520815,79,2021-9-15,Toughzap,18.68,FG-EAESS0115,1
0I0Q707FJ2E520815,79,2021-9-15,Betatech,45.92,FH-EAEM0134,1
0I0Q707FJ2E520815,79,2021-9-15,Betatech,1.42,FH-EAEM0135,3
0I0Q707FJ2E520815,79,2021-9-15,Blackzim,14.17,PP-BAE0017,1
0I0Q707FJ2E520815,79,2021-9-15,Toughzap,26.07,ZN-EAEAD0042,1
0I0Q707FJ2E520815,79,2021-9-15,Zathunicon,26.27,ZN-EAEM0140,2
0K0DP4SDKL0912273,17,2020-10-13,Blackzim,65.45,BH-EAEESS0060,2
0K0DP4SDKL0912273,17,2020-10-13,Toughzap,13.98,FH-EAEGAM0074,4
0K0DP4SDKL0912273,17,2020-10-13,Zathunicon,38.23,FH-EAELASS0092,2
0K0DP4SDKL0912273,17,2020-10-13,Blackzim,10.52,FH-EAES0093,2
0K0DP4SDKL0912273,17,2020-10-13,Toughzap,24.97,ZN-PACBS0197,2
0K0DP4SDKL0912273,169,2020-11-7,Nam-zim,65.38,BH-EAEM0149,2
0K0DP4SDKL0912273,169,2020-11-7,Nam-zim,57.69,ZN-BAED0031,3
0K0DP4SDKL0912273,57,2021-1-5,Betatech,62.38,BH-PACBS0191,3
0K0DP4SDKL0912273,57,2021-1-5,Nam-zim,4.28,BM-EAEESS0053,1
0K0DP4SDKL0912273,57,2021-1-5,Finhigh,40.54,ZN-BAE0014,3
0K0DP4SDKL0912273,133,2021-1-23,Zathunicon,16.26,BH-ICS0158,4
0K0DP4SDKL0912273,133,2021-1-23,Nam-zim,18.02,BM-EAEGAM0071,3
0K0DP4SDKL0912273,196,2021-3-6,Funholding,90.64,FH-EAECS0051,3
0K0DP4SDKL0912273,196,2021-3-6,Betatech,86.25,FH-EAEGAM0069,3
0K0DP4SDKL0912273,196,2021-3-6,Betatech,8.42,TP-BAE0000,2
0K0DP4SDKL0912273,196,2021-3-6,Funholding,53.29,TP-BAEW0038,3
0K0DP4SDKL0912273,196,2021-3-6,Funholding,14.89,TP-EAEGAM0067,3
0K0DP4SDKL0912273,196,2021-3-6,Finhigh,13.44,TP-PACBS0178,2
0K0DP4SDKL0912273,11,2021-3-15,Plexzap,77.31,FG-BAE0015,1
0K0DP4SDKL0912273,11,2021-3-15,Betatech,74.64,PP-BAE0000,2
0K0DP4SDKL0912273,138,2021-6-10,Toughzap,63.67,BH-EAECS0048,1
0K0DP4SDKL0912273,138,2021-6-10,Funholding,62.97,BH-EAEWH0131,4
0K0DP4SDKL0912273,138,2021-6-10,Nam-zim,45.82,FG-EAES0124,3
0K0DP4SDKL0912273,138,2021-6-10,Plexzap,72.68,FG-PACBS0164,4
0K0DP4SDKL0912273,138,2021-6-10,Finhigh,90.43,FH-10141,1
0K0DP4SDKL0912273,138,2021-6-10,Betatech,17.51,FH-BAE0015,2
0K0DP4SDKL0912273,138,2021-6-10,Funholding,7.93,FH-EAES0103,1
0K0DP4SDKL0912273,138,2021-6-10,Plexzap,89.7,FH-PACBS0190,1
0K0DP4SDKL0912273,138,2021-6-10,Nam-zim,67.21,ZN-BAED0029,4
0K0DP4SDKL0912273,138,2021-6-10,Nam-zim,32.64,ZN-EAELASS0092,2
0K0DP4SDKL0912273,35,2021-6-25,Zathunicon,79.6,FH-EAEM0140,1
0K0DP4SDKL0912273,35,2021-6-25,Zathunicon,51.79,NM-EAELASS0090,2
0UBBG820VBK445621,87,2021-5-10,Toughzap,24.21,BM-EAES0096,4
0UBBG820VBK445621,87,2021-5-10,Betatech,43.69,FG-EAEAD0041,1
0UBBG820VBK445621,87,2021-5-10,Zathunicon,71.57,FG-PACBS0173,3
0UBBG820VBK445621,118,2021-6-17,Nam-zim,94.2,BM-10141,3
0UBBG820VBK445621,118,2021-6-17,Nam-zim,42.95,FG-PACBS0175,4
0UBBG820VBK445621,158,2021-6-28,Plexzap,42.33,FG-EAEM0145,2
0UBBG820VBK445621,46,2021-7-24,Zathunicon,44.74,FG-EAEAD0047,3
0UBBG820VBK445621,46,2021-7-24,Toughzap,86.93,FG-EAEM0138,2
0UBBG820VBK445621,46,2021-7-24,Nam-zim,35.55,FG-EAES0093,3
0UBBG820VBK445621,46,2021-7-24,Funholding,54.75,FG-EAESS0118,2
0UBBG820VBK445621,46,2021-7-24,Blackzim,28.33,TP-EAES0101,1
0VWWXBNXE6N897485,118,2020-10-15,Toughzap,14.28,FH-EAEESS0060,4
0VWWXBNXE6N897485,118,2020-10-15,Funholding,18.46,FH-EAEGAM0071,1
0VWWXBNXE6N897485,118,2020-10-15,Plexzap,3.02,FH-EAEIS0079,1
0VWWXBNXE6N897485,118,2020-10-15,Funholding,7.49,FH-ICS0162,3
0VWWXBNXE6N897485,118,2020-10-15,Finhigh,12.63,NM-EAEGAM0062,1
0VWWXBNXE6N897485,118,2020-10-15,Finhigh,3.69,NM-EAES0108,3
0VWWXBNXE6N897485,118,2020-10-15,Nam-zim,23.93,TP-EAEWH0128,4
0VWWXBNXE6N897485,118,2020-10-15,Betatech,17.15,TP-ICS0161,4
0VWWXBNXE6N897485,191,2020-11-22,Zathunicon,12.69,BM-EAEIS0075,4
0VWWXBNXE6N897485,191,2020-11-22,Funholding,23.17,NM-BAE0011,3
0VWWXBNXE6N897485,191,2020-11-22,Betatech,26.61,NM-EAECS0051,3
0VWWXBNXE6N897485,160,2021-4-2,Blackzim,12.39,BM-BAE0013,3
0VWWXBNXE6N897485,160,2021-4-2,Funholding,27.72,BM-EAEM0136,1
0VWWXBNXE6N897485,160,2021-4-2,Zathunicon,14.6,TP-BAED0026,1
0VWWXBNXE6N897485,160,2021-4-2,Plexzap,20.08,TP-ICS0156,3
0VWWXBNXE6N897485,47,2021-4-24,Blackzim,28.3,FH-EAECS0049,1
0VWWXBNXE6N897485,47,2021-4-24,Funholding,15.31,FH-PACBS0172,4
0VWWXBNXE6N897485,88,2021-8-26,Toughzap,0.56,FG-EAEESS0058,2
0VWWXBNXE6N897485,88,2021-8-26,Finhigh,20.22,ZN-EAES0126,2
0VWWXBNXE6N897485,88,2021-8-26,Blackzim,27.41,ZN-PACBS0183,1
0VWWXBNXE6N897485,159,2021-9-21,Blackzim,9.29,BM-BAED0031,3
0VWWXBNXE6N897485,159,2021-9-21,Funholding,27.97,BM-EAEAD0041,3
0VWWXBNXE6N897485,159,2021-9-21,Betatech,0.36,BM-EAES0105,1
0VWWXBNXE6N897485,159,2021-9-21,Finhigh,15.96,FG-EAEM0135,2
0WPI14P1N3Y139809,26,2021-6-7,Blackzim,73.73,FG-10141,2
0WPI14P1N3Y139809,26,2021-6-7,Zathunicon,35.78,FG-EAEGAM0073,4
0WPI14P1N3Y139809,24,2021-6-24,Betatech,98.84,PP-PACBS0174,3
0YQVT1ME4G3999928,73,2021-6-7,Blackzim,25.21,ZN-ICS0161,1
0YQVT1ME4G3999928,58,2021-8-2,Betatech,28.86,FH-EAECS0052,3
0YQVT1ME4G3999928,58,2021-8-2,Plexzap,9.61,NM-BAE0015,1
0YQVT1ME4G3999928,58,2021-8-2,Toughzap,18.42,PP-EAEESS0059,1
0YQVT1ME4G3999928,58,2021-8-2,Finhigh,26.85,PP-EAEM0144,3
0YQVT1ME4G3999928,58,2021-8-2,Finhigh,15.33,PP-EAES0094,4
0YQVT1ME4G3999928,58,2021-8-2,Toughzap,23.57,TP-BAEW0036,1
0YQVT1ME4G3999928,58,2021-8-2,Nam-zim,31.18,TP-EAES0112,3
0YQVT1ME4G3999928,58,2021-8-2,Plexzap,18.83,TP-PACBS0173,2
0YQVT1ME4G3999928,158,2021-8-8,Finhigh,28.73,BH-EAEESS0058,1
0YQVT1ME4G3999928,158,2021-8-8,Funholding,17.19,NM-BAE0014,3
0YQVT1ME4G3999928,158,2021-8-8,Zathunicon,28.69,NM-BAED0032,3
0YQVT1ME4G3999928,158,2021-8-8,Toughzap,31.68,NM-EAES0096,1
0YQVT1ME4G3999928,80,2021-8-18,Blackzim,18.98,BM-BAE0000,1
0YQVT1ME4G3999928,80,2021-8-18,Toughzap,7.58,TP-EAEAD0044,2
0YQVT1ME4G3999928,80,2021-8-18,Blackzim,10.8,TP-EAES0101,1
0YQVT1ME4G3999928,80,2021-8-18,Zathunicon,7.41,ZN-IFCAP0151,3
15G3KHMPQ6Q659826,23,2020-12-12,Betatech,25.64,ZN-EAEESS0058,3
15G3KHMPQ6Q659826,23,2020-12-12,Betatech,53.87,ZN-EAES0100,4
15G3KHMPQ6Q659826,127,2021-7-30,Funholding,12.83,FG-PACBS0183,1
15G3KHMPQ6Q659826,127,2021-7-30,Zathunicon,21.03,PP-BAEW0040,1
15G3KHMPQ6Q659826,127,2021-7-30,Nam-zim,57.98,PP-ICS0155,3
15G3KHMPQ6Q659826,127,2021-7-30,Funholding,46.66,ZN-BAE0003,2
15G3KHMPQ6Q659826,127,2021-7-30,Nam-zim,29.61,ZN-EAELASS0084,1
15G3KHMPQ6Q659826,19,2021-8-14,Toughzap,75.93,BM-EAES0110,3
15G3KHMPQ6Q659826,19,2021-8-14,Betatech,105.26,NM-BAEW0039,4
15G3KHMPQ6Q659826,19,2021-8-14,Finhigh,105.06,NM-EAEIS0081,2
15G3KHMPQ6Q659826,19,2021-8-14,Zathunicon,10.64,ZN-EAEM0147,2
15G3KHMPQ6Q659826,19,2021-8-14,Funholding,28.53,ZN-PACBS0197,2
15G3KHMPQ6Q659826,19,2021-8-14,Funholding,22.33,ZN-PACBS0198,1
15G3KHMPQ6Q659826,35,2021-8-31,Toughzap,106.26,BM-ICS0160,2
15G3KHMPQ6Q659826,35,2021-8-31,Zathunicon,25.66,BM-PACBS0195,4
15G3KHMPQ6Q659826,35,2021-8-31,Toughzap,72.08,NM-EAEM0137,3
15G3KHMPQ6Q659826,35,2021-8-31,Blackzim,74.98,TP-BAE0022,3
1DQL1LHOWDJ517215,77,2021-1-26,Nam-zim,33.15,PP-PACBS0189,4
1DQL1LHOWDJ517215,77,2021-1-26,Funholding,3.54,ZN-BAED0030,1
1DQL1LHOWDJ517215,77,2021-1-26,Blackzim,0.44,ZN-PACBS0170,3
1DQL1LHOWDJ517215,175,2021-4-4,Funholding,30.02,NM-ICS0154,3
1DQL1LHOWDJ517215,175,2021-4-4,Betatech,34.35,PP-BAE0008,4
1DQL1LHOWDJ517215,175,2021-4-4,Betatech,1.07,PP-PACBS0192,4
1DQL1LHOWDJ517215,124,2021-5-20,Blackzim,15.06,ZN-EAES0102,2
1DQL1LHOWDJ517215,124,2021-5-20,Toughzap,17.12,ZN-PACBS0186,1
1DQL1LHOWDJ517215,14,2021-7-28,Finhigh,29.46,NM-EAESS0118,2
1DQL1LHOWDJ517215,160,2021-8-1,Finhigh,10.48,TP-BAEW0036,4
1DQL1LHOWDJ517215,160,2021-8-1,Nam-zim,30.52,TP-EAEIS0079,4
1EF7NFU0EUT973245,124,2020-11-13,Betatech,61.23,FG-EAES0106,1
1EF7NFU0EUT973245,124,2020-11-13,Nam-zim,89.29,FG-ICS0157,3
1EF7NFU0EUT973245,124,2020-11-13,Plexzap,61.38,NM-EAELASS0092,1
1EF7NFU0EUT973245,124,2020-11-13,Finhigh,8.59,NM-PACBS0179,2
1EF7NFU0EUT973245,151,2020-12-13,Plexzap,25.42,FG-BAED0023,2
1EF7NFU0EUT973245,151,2020-12-13,Plexzap,9.71,FG-EAEESS0057,2
1EF7NFU0EUT973245,151,2020-12-13,Toughzap,48.37,FG-PACBS0192,2
1EF7NFU0EUT973245,151,2020-12-13,Funholding,74.62,NM-BAED0030,4
1EF7NFU0EUT973245,151,2020-12-13,Nam-zim,34.86,NM-PACBS0173,1
1EF7NFU0EUT973245,151,2020-12-13,Blackzim,35.69,PP-EAEM0134,1
1EF7NFU0EUT973245,151,2020-12-13,Blackzim,75.42,PP-EAES0109,1
1EF7NFU0EUT973245,151,2020-12-13,Plexzap,52,TP-EAEGAM0063,2
1EF7NFU0EUT973245,151,2020-12-13,Zathunicon,7.68,TP-EAEM0149,1
1EF7NFU0EUT973245,122,2021-2-8,Finhigh,9.23,BM-EAEGAM0072,3
1EF7NFU0EUT973245,122,2021-2-8,Funholding,41.91,FG-BAE0010,2
1EF7NFU0EUT973245,122,2021-2-8,Funholding,19.79,FG-BAEW0038,1
1EF7NFU0EUT973245,122,2021-2-8,Blackzim,61.3,FH-EAEESS0059,2
1EF7NFU0EUT973245,122,2021-2-8,Plexzap,32.7,ZN-BAE0020,2
1EF7NFU0EUT973245,122,2021-2-8,Betatech,17.04,ZN-PACBS0176,4
1EF7NFU0EUT973245,70,2021-2-18,Nam-zim,81.01,BH-EAES0112,2
1EF7NFU0EUT973245,70,2021-2-18,Finhigh,46.77,FG-EAES0104,4
1EF7NFU0EUT973245,19,2021-4-11,Plexzap,91.98,FG-ICS0159,3
1EF7NFU0EUT973245,19,2021-4-11,Nam-zim,81.18,FG-PACBS0183,3
1EF7NFU0EUT973245,19,2021-4-11,Funholding,3.82,PP-EAEGAM0064,4
1EF7NFU0EUT973245,19,2021-4-11,Nam-zim,29.63,PP-EAEIS0075,2
1EF7NFU0EUT973245,168,2021-4-19,Zathunicon,47.13,FH-EAESS0119,4
1EF7NFU0EUT973245,168,2021-4-19,Blackzim,13.91,FH-PACBS0164,4
1EF7NFU0EUT973245,168,2021-4-19,Funholding,56.54,PP-EAECS0051,2
1EF7NFU0EUT973245,63,2021-5-22,Zathunicon,39.13,FH-EAEESS0053,3
1EF7NFU0EUT973245,63,2021-5-22,Zathunicon,15.42,FH-PACBS0190,2
1EF7NFU0EUT973245,63,2021-5-22,Finhigh,3.38,ZN-EAEESS0057,3
1EF7NFU0EUT973245,63,2021-5-22,Finhigh,41.74,ZN-PACBS0173,4
1FU8E0GMYMW270793,125,2020-5-9,Funholding,76.95,BH-EAEAD0041,2
1FU8E0GMYMW270793,125,2020-5-9,Finhigh,56.4,FG-EAEGAM0066,1
1FU8E0GMYMW270793,125,2020-5-9,Toughzap,9.66,FG-PACBS0194,1
1FU8E0GMYMW270793,125,2020-5-9,Toughzap,61.21,FH-EAELASS0085,1
1FU8E0GMYMW270793,125,2020-5-9,Toughzap,20.35,FH-EAES0112,3
1FU8E0GMYMW270793,175,2020-7-28,Blackzim,76.36,BM-EAEGAM0065,2
1FU8E0GMYMW270793,175,2020-7-28,Nam-zim,67.94,BM-EAEM0132,3
1FU8E0GMYMW270793,175,2020-7-28,Nam-zim,66.51,FG-BAED0030,3
1FU8E0GMYMW270793,175,2020-7-28,Plexzap,14.84,FG-EAESS0115,2
1FU8E0GMYMW270793,175,2020-7-28,Finhigh,33.28,TP-EAECS0048,3
1FU8E0GMYMW270793,175,2020-7-28,Toughzap,24.65,TP-EAELASS0090,1
1FU8E0GMYMW270793,175,2020-7-28,Funholding,4.84,TP-EAES0110,1
1FU8E0GMYMW270793,175,2020-7-28,Finhigh,26.96,TP-PACBS0189,2
1FU8E0GMYMW270793,91,2020-9-7,Zathunicon,55.89,FG-EAEWH0130,1
1FU8E0GMYMW270793,91,2020-9-7,Funholding,30.77,FG-ICS0157,3
