VIN,CustomerID,Start_date,Labor_fee,Description,Complete_date,Odometer,Username
0K0DP4SDKL0912273,196,2021-3-6,91.34,set up satellite radio; change steering rack; ,2021-3-9,933976,user33
0K0DP4SDKL0912273,11,2021-3-15,1887.64,fix broken tow hooks; ,2021-5-26,995206,user29
0K0DP4SDKL0912273,138,2021-6-10,152.23,adjust block heater; replace timing belt tensioner; ,2021-6-20,1111798,user17
0K0DP4SDKL0912273,35,2021-6-25,274.01,install intelligent alternator; change air conditioner refrigerant; ,2021-7-22,1112275,user17
0UBBG820VBK445621,192,2021-5-7,72.57,set up satellite radio; fix nvh dampening system; ,2021-5-8,124384,user33
0UBBG820VBK445621,87,2021-5-10,254.01,install vanity mirrors; adjust running boards; ,2021-5-23,141997,user17
0UBBG820VBK445621,147,2021-5-27,108.86,change speaker configuration; configure audio remote control; ,2021-6-10,145489,user13
0UBBG820VBK445621,118,2021-6-17,217.72,install vanity mirrors; replace water pump; ,2021-6-23,186370,user17
0UBBG820VBK445621,158,2021-6-28,254.01,replace crankcase ventilation filter; change brake linings; ,2021-7-6,196031,user17
0UBBG820VBK445621,46,2021-7-24,254.01,fix steering damper; fix rear hvac; ,2021-9-3,401752,user33
0VWWXBNXE6N897485,118,2020-10-15,60.4,replace tail lights; fix a-pillar; ,2020-10-21,69901,user30
0VWWXBNXE6N897485,191,2020-11-22,10.07,add knee airbags; configure audio remote control; ,2020-11-22,310382,user33
0VWWXBNXE6N897485,160,2021-4-2,130.87,install smoked glass; replace water pump; ,2021-4-21,1643847,user12
0VWWXBNXE6N897485,47,2021-4-24,231.54,configure audio remote control; replace steering column lock; ,2021-6-30,1647703,user15
0VWWXBNXE6N897485,88,2021-8-26,30.2,install active pedestrian protection system; replace radiator hoses; ,2021-9-4,2267138,user30
0VWWXBNXE6N897485,159,2021-9-21,20.13,refurbish power steering; reduce carbon footprint; ,2021-9-24,2440216,user30
0WPI14P1N3Y139809,26,2021-6-7,85.13,change memory settings of the onboard computer; reduce blind spot; ,2021-6-8,1457248,user17
0WPI14P1N3Y139809,24,2021-6-24,808.72,repair direct injection system; replace radiator hoses; ,2021-7-29,1545719,user13
0YQVT1ME4G3999928,73,2021-6-7,54.29,fix ventilated seats; ,2021-6-11,105444,user15
0YQVT1ME4G3999928,29,2021-7-12,195.46,configure audio remote control; fix deceleration system; ,2021-8-1,189834,user13
0YQVT1ME4G3999928,58,2021-8-2,54.29,change purge valve; ,2021-8-6,191508,user29
0YQVT1ME4G3999928,158,2021-8-8,10.86,change timing belt; ,2021-8-8,208823,user12
0YQVT1ME4G3999928,80,2021-8-18,217.18,replace tail lights; configure audio remote control; ,2021-9-10,305853,user33
15G3KHMPQ6Q659826,23,2020-12-12,1946.11,fix a-pillar; ,2021-4-11,58046,user33
15G3KHMPQ6Q659826,111,2021-5-3,1500.13,remove oversteer; replace stabilizer bar; ,2021-7-17,224875,user13
15G3KHMPQ6Q659826,127,2021-7-30,445.98,adjust block heater; fix solar sunroof; ,2021-8-11,370157,user13
15G3KHMPQ6Q659826,19,2021-8-14,445.98,replace stabilizer bar; fix a-pillar; ,2021-8-25,387753,user29
15G3KHMPQ6Q659826,35,2021-8-31,162.18,replace ace filter; replace crankcase ventilation filter; ,2021-9-7,444599,user30
1DQL1LHOWDJ517215,77,2021-1-26,64.23,fix broken tow hooks; replace water pump; ,2021-2-3,47109,user12
1DQL1LHOWDJ517215,175,2021-4-4,38.54,adjust running boards; ,2021-4-9,264799,user13
1DQL1LHOWDJ517215,124,2021-5-20,12.85,install roof spoiler; change steering rack; ,2021-6-1,720210,user15
1DQL1LHOWDJ517215,14,2021-7-28,25.69,repair seatbelt force limiters; reduce carbon footprint; ,2021-7-30,1266546,user29
1DQL1LHOWDJ517215,160,2021-8-1,25.69,install intelligent alternator; replace fuel filter; ,2021-8-4,1271662,user12
1EF7NFU0EUT973245,124,2020-11-13,372.7,replace radiator core & ac condenser; replace radiator hoses; ,2020-12-9,73094,user17
1EF7NFU0EUT973245,151,2020-12-13,807.51,fix steering damper; change oil filter; ,2021-2-1,109188,user12
1EF7NFU0EUT973245,122,2021-2-8,62.12,improve engine performance; upgrade navigation system; ,2021-2-11,179889,user13
1EF7NFU0EUT973245,70,2021-2-18,248.46,upgrade navigation system; replace radiator hoses; ,2021-3-7,259068,user17
1EF7NFU0EUT973245,164,2021-3-21,31.06,fix rear defroster; ,2021-3-28,348692,user30
1EF7NFU0EUT973245,19,2021-4-11,186.35,fix rear hvac; fix rear defroster; ,2021-4-17,436154,user12
1EF7NFU0EUT973245,168,2021-4-19,186.35,adjust turn signals; refurbish power steering; ,2021-4-30,459703,user33
1EF7NFU0EUT973245,63,2021-5-22,2702.04,fix nvh dampening system; ,2021-9-8,523678,user13
1FU8E0GMYMW270793,125,2020-5-9,26.54,configure audio remote control; adjust ignition timing; ,2020-5-10,61043,user12
1FU8E0GMYMW270793,175,2020-7-28,345.08,fix sunroof; adjust regenerative braking; ,2020-9-5,785070,user13
1FU8E0GMYMW270793,91,2020-9-7,318.54,add knee airbags; replace brake pedal spring; ,2020-9-21,798566,roland
1FU8E0GMYMW270793,74,2020-10-13,238.9,install dusk-sensing headlights; adjust regenerative braking; ,2020-10-21,965804,user30
1FU8E0GMYMW270793,97,2020-10-23,212.36,change oil filter; replace liftgate window; ,2020-11-8,970370,user17
1FU8E0GMYMW270793,125,2020-11-16,132.72,install anti-theft alarm; change brake linings; ,2020-12-11,978184,user33
1FU8E0GMYMW270793,39,2021-2-22,2681.03,fix a-pillar; adjust block heater; ,2021-8-9,1619087,user15
1NGZ4FLKC0Y272420,7,2021-6-8,11.36,check drive axle boots; adjust retractable mirrors; ,2021-6-9,72873,roland
1NGZ4FLKC0Y272420,132,2021-6-15,45.42,replace ace filter; replace stabilizer bar; ,2021-6-19,76596,user12
1NGZ4FLKC0Y272420,35,2021-6-25,22.71,reduce carbon footprint; install turbocharger; ,2021-7-5,119666,user13
1NGZ4FLKC0Y272420,106,2021-7-16,11.36,prevent fuel pump shutoff; repair direct injection system; ,2021-7-20,143465,user12
1NGZ4FLKC0Y272420,125,2021-7-25,11.36,fix external temperature display; install curtain airbags; ,2021-7-27,202774,user17
1NGZ4FLKC0Y272420,148,2021-8-4,22.71,install active pedestrian protection system; attach spoiler; ,2021-8-11,250390,user17
1NGZ4FLKC0Y272420,62,2021-8-16,79.49,improve cylinder configuration; ,2021-8-27,309380,user15
1XHDZEREQ7I052484,76,2021-4-22,5458.27,change suspension fluid; ,2021-9-22,6363,roland
20DS0RGMDXW132327,96,2021-7-7,36.02,adjust seat belts tension; ,2021-7-8,208311,user17
20DS0RGMDXW132327,87,2021-7-19,18.01,add heated windshield; ,2021-7-29,303681,roland
20DS0RGMDXW132327,44,2021-8-21,396.22,adjust accelerator pedal linkage; fix ventilated seats; ,2021-9-20,346199,user13
21SSFP0O1TZ975822,92,2021-5-22,50.55,install optional equipment; add knee airbags; ,2021-5-23,57107,user30
21SSFP0O1TZ975822,71,2021-5-28,126.37,adjust traction control system; improve cylinder configuration; ,2021-6-4,98291,user12
21SSFP0O1TZ975822,135,2021-6-12,101.1,install on-board diagnosis system; ,2021-6-16,130801,user29
21SSFP0O1TZ975822,8,2021-6-18,50.55,adjust seat belts tension; fix rear defroster; ,2021-7-5,146669,roland
21SSFP0O1TZ975822,188,2021-7-18,50.55,change air conditioner refrigerant; replace catalytic converter; ,2021-7-21,229387,user12
21SSFP0O1TZ975822,192,2021-7-22,25.27,replace diverter valve; install vanity mirrors; ,2021-7-25,239563,roland
21SSFP0O1TZ975822,97,2021-7-26,25.27,change timing belt; repair seatbelt force limiters; ,2021-7-26,250119,user13
21SSFP0O1TZ975822,158,2021-8-1,25.27,replace diverter valve; change speaker configuration; ,2021-9-10,318440,user29
21SSFP0O1TZ975822,176,2021-9-21,50.55,fix broken tow hooks; ,2021-9-22,376830,user17
222BHPCRR2U716446,188,2021-1-5,772.04,replace fuel filter; refurbish power steering; ,2021-2-12,187968,user30
222BHPCRR2U716446,188,2021-2-21,22.06,install active pedestrian protection system; install anti-theft alarm; ,2021-2-22,200574,user30
222BHPCRR2U716446,41,2021-4-30,948.51,change speaker configuration; repair seatbelt force limiters; ,2021-6-24,386293,user12
222BHPCRR2U716446,15,2021-7-30,374.99,fix ventilated seats; replace radiator hoses; ,2021-8-17,458445,user30
23XU4U8IFDL261229,81,2021-3-11,18.12,fix ventilated seats; remove oversteer; ,2021-3-12,65930,user12
23XU4U8IFDL261229,41,2021-3-26,199.33,replace steering column lock; fix solar sunroof; ,2021-4-5,135300,user30
23XU4U8IFDL261229,152,2021-4-8,90.6,attach spoiler; fix ventilated seats; ,2021-4-19,169393,user12
23XU4U8IFDL261229,82,2021-5-5,344.29,fix nvh dampening system; adjust retractable mirrors; ,2021-5-26,234023,user30
23XU4U8IFDL261229,109,2021-6-11,362.42,repair cooled seats; ,2021-7-4,297905,user17
23XU4U8IFDL261229,78,2021-7-31,108.72,fix cylinder head bolts; install active pedestrian protection system; ,2021-8-10,356221,user15
23XU4U8IFDL261229,80,2021-9-14,36.24,fix rear hvac; adjust traction control system; ,2021-9-17,370976,user33
26OCQWEQYJV636712,77,2021-6-23,25.73,fix broken tow hooks; refurbish power steering; ,2021-6-24,42254,user17
26OCQWEQYJV636712,63,2021-7-6,102.94,install separate rear audio; remove oversteer; ,2021-7-10,81002,user30
26OCQWEQYJV636712,174,2021-7-15,617.63,fix cylinder head bolts; configure audio remote control; ,2021-8-23,93950,user30
26OCQWEQYJV636712,55,2021-9-2,128.67,upgrade navigation system; repair cooled seats; ,2021-9-16,100839,user15
26OCQWEQYJV636712,93,2021-9-20,51.47,add knee airbags; attach seat extension; ,2021-9-26,114817,user13
26RIMRHVSQK619881,84,2020-12-12,65.9,install anti-theft alarm; change purge valve; ,2020-12-26,97994,user29
26RIMRHVSQK619881,31,2020-12-27,65.9,adjust retractable mirrors; replace crankcase ventilation filter; ,2020-12-30,99036,user17
26RIMRHVSQK619881,179,2021-1-2,98.85,adjust retractable mirrors; adjust hybrid performance; ,2021-1-22,104860,user15
26RIMRHVSQK619881,149,2021-3-5,395.41,replace brake pedal spring; adjust seat belts tension; ,2021-4-1,393766,roland
26RIMRHVSQK619881,37,2021-4-18,395.41,install roof spoiler; change coolant; ,2021-5-18,564054,roland
26RIMRHVSQK619881,104,2021-6-23,131.8,set up satellite radio; ,2021-7-1,785525,user17
26RIMRHVSQK619881,2,2021-7-7,164.75,adjust ignition timing; configure universal remote control; ,2021-7-19,821654,user29
26RIMRHVSQK619881,113,2021-7-31,32.95,change coolant; replace radiator hoses; ,2021-8-20,864245,user13
26RIMRHVSQK619881,128,2021-8-31,214.18,replace tail lights; install on-board diagnosis system; ,2021-9-24,907075,user30
280ECEXOEHP375800,82,2021-5-8,211.34,replace liftgate window; install anti-theft alarm; ,2021-7-5,5810,user12
280ECEXOEHP375800,107,2021-7-7,169.07,adjust turn signals; ,2021-7-28,26724,roland
280ECEXOEHP375800,20,2021-7-31,84.53,change oil filter; set up auto-delay headlights; ,2021-8-4,43854,user15
280ECEXOEHP375800,47,2021-8-21,63.4,replace serpentine belt; improve engine performance; ,2021-8-27,158158,user12
2GJ51MZ0A1N199895,135,2021-2-22,54.87,change suspension fluid; adjust hybrid performance; ,2021-2-24,28761,user12
2GJ51MZ0A1N199895,82,2021-3-10,246.9,install anti-theft alarm; change purge valve; ,2021-3-23,194279,user13
2GJ51MZ0A1N199895,153,2021-6-11,54.87,replace radiator core & ac condenser; ,2021-6-23,1110095,user13
2GJ51MZ0A1N199895,126,2021-7-7,27.43,reconfigure service reminder light; add knee airbags; ,2021-7-17,1261293,user12
2GJ51MZ0A1N199895,69,2021-7-30,27.43,replace tail lights; ,2021-7-30,1341336,user33
2GJ51MZ0A1N199895,162,2021-7-31,1344.22,fix nvh dampening system; attach spoiler; ,2021-9-26,1348411,user13
2H6ZZF8OOXC822443,125,2020-8-5,909.92,change pcv filter/pcv valve; ,2020-9-25,472034,user29
2H6ZZF8OOXC822443,179,2020-11-17,478.91,repair direct injection system; install turbocharger; ,2021-1-3,947457,user17
2H6ZZF8OOXC822443,127,2021-1-25,5315.86,adjust turn signals; repair cooled seats; ,2021-6-10,1013067,user12
2JS82H11FSA911163,63,2021-4-29,297.32,fix external temperature display; set up auto-delay headlights; ,2021-5-10,156810,user29
2JS82H11FSA911163,182,2021-5-23,42.47,install intelligent alternator; reduce carbon footprint; ,2021-6-4,179010,roland
2JS82H11FSA911163,148,2021-6-8,552.17,adjust running boards; replace stabilizer bar; ,2021-6-21,179772,user13
2JS82H11FSA911163,177,2021-7-2,84.95,adjust turn signals; make polarization coating; ,2021-7-4,270710,user12
2JS82H11FSA911163,181,2021-7-14,42.47,change oil filter; configure audio remote control; ,2021-7-18,283305,user30
2JS82H11FSA911163,66,2021-9-5,84.95,fix rear defroster; upgrade navigation system; ,2021-9-14,408987,user33
2JS82H11FSA911163,193,2021-9-18,42.47,change purge valve; ,2021-9-18,412289,user13
2NMR3SMFNAZ813043,91,2021-6-30,274.33,set up gyro sensor; ,2021-7-9,146461,user33
2NMR3SMFNAZ813043,124,2021-7-17,1152.19,install curtain airbags; fix nvh dampening system; ,2021-8-29,194614,user15
2UL7JBUREY0725461,189,2021-6-28,129.59,replace stabilizer bar; install dusk-sensing headlights; ,2021-7-2,193819,user30
2UL7JBUREY0725461,100,2021-7-3,43.2,fix power activated release; install dusk-sensing headlights; ,2021-7-4,199212,roland
2UL7JBUREY0725461,195,2021-7-6,734.33,repair cooled seats; fix solar sunroof; ,2021-8-3,210660,user17
2UL7JBUREY0725461,26,2021-8-17,172.78,set up gyro sensor; install intelligent alternator; ,2021-8-20,345788,roland
2UL7JBUREY0725461,43,2021-9-3,431.96,adjust accelerator pedal linkage; ,2021-9-12,374808,user13
2UL7JBUREY0725461,138,2021-9-13,215.98,fix external temperature display; correct abs; ,2021-9-26,377158,user30
2W7BN5RJGCI094698,199,2021-7-6,1663.44,adjust traction control system; ,2021-8-4,81617,user29
2W7BN5RJGCI094698,145,2021-8-26,237.63,replace timing belt tensioner; repair direct injection system; ,2021-8-30,108046,user33
2W7BN5RJGCI094698,122,2021-9-21,237.63,fix power activated release; reduce carbon footprint; ,2021-9-22,312562,user17
2ZGQSMRVMSR266772,134,2021-7-1,47.04,change suspension fluid; ,2021-7-4,57081,user17
2ZGQSMRVMSR266772,118,2021-7-8,11.76,set up auto-delay headlights; adjust seat belts tension; ,2021-7-11,89132,user15
2ZGQSMRVMSR266772,70,2021-7-12,23.52,replace timing belt tensioner; reduce fuel consumption; ,2021-7-19,96854,user33
2ZGQSMRVMSR266772,47,2021-8-8,105.83,change oil filter; replace tail lights; ,2021-8-16,123868,user13
2ZGQSMRVMSR266772,163,2021-8-17,11.76,fix power activated release; install dusk-sensing headlights; ,2021-8-28,134789,user29
2ZGQSMRVMSR266772,34,2021-9-3,11.76,reduce carbon footprint; repair cooled seats; ,2021-9-5,140972,roland
2ZGQSMRVMSR266772,32,2021-9-25,11.76,replace liftgate window; repair seatbelt force limiters; ,2021-9-26,279931,user17
36GPKZLLJM1116960,57,2020-5-16,337.24,adjust accelerator pedal linkage; adjust regenerative braking; ,2020-5-29,371260,user13
36GPKZLLJM1116960,154,2020-6-20,1011.72,replace timing belt tensioner; install intelligent alternator; ,2020-7-11,498830,user29
36GPKZLLJM1116960,57,2020-7-26,963.54,adjust reverse tilt mirrors; change steering rack; ,2020-8-18,558771,user30
36GPKZLLJM1116960,83,2020-9-23,963.54,adjust climate control; set up auto-delay headlights; ,2020-10-15,750737,user29
36GPKZLLJM1116960,52,2020-11-20,1927.08,fix sunroof; ,2021-1-4,913753,user29
36GPKZLLJM1116960,130,2021-2-6,3661.45,set up satellite radio; fix solar sunroof; ,2021-4-22,995272,user13
36GPKZLLJM1116960,10,2021-4-29,240.88,improve engine performance; adjust adaptive cruise control; ,2021-5-10,1007036,user13
36GPKZLLJM1116960,79,2021-5-30,529.95,replace brake pedal spring; ,2021-6-15,1125682,roland
36GPKZLLJM1116960,39,2021-8-23,1059.89,add heated windshield; install curtain airbags; ,2021-9-17,1280070,user15
36HU6JXKV0B908236,132,2020-7-30,635.58,change air conditioner refrigerant; fix broken tow hooks; ,2020-8-17,94929,user13
36HU6JXKV0B908236,80,2020-9-5,476.69,adjust hybrid performance; replace stabilizer bar; ,2020-11-4,277477,user33
36HU6JXKV0B908236,61,2021-1-8,119.17,fix nvh dampening system; configure universal remote control; ,2021-1-10,499471,user17
36HU6JXKV0B908236,159,2021-2-10,39.72,adjust block heater; replace tail lights; ,2021-2-13,827110,user29
3856NH1QBEC536316,97,2020-3-16,893.1,install dusk-sensing headlights; make polarization coating; ,2020-7-1,231571,user17
3856NH1QBEC536316,197,2020-7-30,19.85,install dusk-sensing headlights; install roof spoiler; ,2020-8-4,571851,roland
3856NH1QBEC536316,30,2020-8-26,59.54,adjust climate control; fix cylinder head bolts; ,2020-9-19,637483,user17
3856NH1QBEC536316,99,2020-12-2,59.54,fix cylinder head bolts; change wheel cylinders; ,2021-1-13,1131833,user15
3856NH1QBEC536316,155,2021-2-15,19.85,check drive axle boots; ,2021-4-11,1236375,user12
3856NH1QBEC536316,122,2021-5-23,238.16,replace timing belt tensioner; adjust climate control; ,2021-6-7,1504499,user13
3856NH1QBEC536316,133,2021-7-13,476.32,fix air filter restriction indicator; replace crankcase ventilation filter; ,2021-8-16,1697779,user33
3A03KTHXJ6O098081,174,2021-6-15,134.76,repair direct injection system; improve cylinder configuration; ,2021-6-24,245987,user29
3A03KTHXJ6O098081,1,2021-6-28,101.07,repair shiftable automatic transmission; repair seatbelt force limiters; ,2021-6-30,293623,user17
3A03KTHXJ6O098081,160,2021-7-6,370.6,change purge valve; change suspension fluid; ,2021-7-19,310381,user33
3A03KTHXJ6O098081,176,2021-7-26,67.38,replace brake pedal spring; ,2021-7-27,341860,user13
3A03KTHXJ6O098081,85,2021-8-18,168.45,attach seat extension; ,2021-8-24,394252,user29
3A03KTHXJ6O098081,197,2021-8-26,101.07,install dusk-sensing headlights; ,2021-8-28,404610,user17
3A03KTHXJ6O098081,33,2021-9-1,101.07,configure audio remote control; install curtain airbags; ,2021-9-4,438350,user12
3A03KTHXJ6O098081,141,2021-9-5,134.76,install on-board diagnosis system; ,2021-9-8,449653,user30
3A03KTHXJ6O098081,152,2021-9-11,202.15,adjust block heater; ,2021-9-18,483378,user29
3A3OOF2JN5W951740,197,2021-7-8,17.63,set up auto-delay headlights; adjust ignition timing; ,2021-8-9,85496,user17
3A3OOF2JN5W951740,53,2021-8-21,70.52,reduce blind spot; fix rear hvac; ,2021-8-27,155109,user13
3BZD4P4QMXX657876,162,2020-5-3,1431.14,install parking sensors; attach spoiler; ,2020-11-5,255622,roland
3BZD4P4QMXX657876,85,2020-11-25,130.1,adjust retractable mirrors; upgrade navigation system; ,2020-12-9,441302,user13
3BZD4P4QMXX657876,100,2020-12-29,3339.33,reconfigure service reminder light; fix external temperature display; ,2021-7-12,553030,user15
3C8P2TNWAH7477883,144,2020-4-4,601.15,adjust ignition timing; set up gyro sensor; ,2020-5-16,182107,roland
3C8P2TNWAH7477883,76,2020-7-19,2050.97,replace ace filter; make polarization coating; ,2020-10-11,465736,user15
3C8P2TNWAH7477883,78,2021-1-27,1131.57,replace radiator hoses; replace water pump; ,2021-3-17,510540,user15
3C8P2TNWAH7477883,66,2021-4-17,2333.86,fix air filter restriction indicator; ,2021-7-23,635054,user33
3J73EOBU1AT381615,22,2021-9-2,859,adjust low fuel warning indicator; install on-board diagnosis system; ,2021-9-15,665851,user17
3JLCARWCAYY553033,84,2021-6-23,22.64,replace timing belt tensioner; ,2021-6-28,65532,user30
3JLCARWCAYY553033,67,2021-6-29,147.14,replace radiator hoses; adjust climate control; ,2021-7-12,72139,user17
3JLCARWCAYY553033,141,2021-7-27,11.32,prevent fuel pump shutoff; change timing belt; ,2021-7-30,156689,user29
3JLCARWCAYY553033,86,2021-8-16,11.32,adjust adaptive cruise control; install anti-theft alarm; ,2021-8-16,344156,user15
3JLCARWCAYY553033,149,2021-8-21,22.64,adjust ignition timing; reduce blind spot; ,2021-8-22,393205,user30
3JLCARWCAYY553033,138,2021-8-26,67.91,repair shiftable automatic transmission; add heated windshield; ,2021-9-1,406438,user15
3JLCARWCAYY553033,70,2021-9-9,45.27,adjust running boards; change purge valve; ,2021-9-12,438912,user33
3JLCARWCAYY553033,15,2021-9-19,79.23,replace catalytic converter; attach seat extension; ,2021-9-25,464989,user33
3LSIXEX21UG135253,66,2020-9-1,459.94,repair shiftable automatic transmission; adjust retractable mirrors; ,2020-9-25,241650,user29
3LSIXEX21UG135253,106,2020-9-27,306.62,change brake linings; attach seat extension; ,2020-10-18,247943,user17
3LSIXEX21UG135253,172,2020-12-8,1328.7,adjust accelerator pedal linkage; configure audio remote control; ,2021-1-2,587886,roland
3LSIXEX21UG135253,41,2021-1-23,613.25,change pcv filter/pcv valve; replace liftgate window; ,2021-3-10,785086,user30
3LSIXEX21UG135253,112,2021-4-7,562.14,install vanity mirrors; adjust traction control system; ,2021-4-22,997700,roland
3LSIXEX21UG135253,18,2021-4-25,255.52,adjust reverse tilt mirrors; ,2021-4-29,1033052,user13
3LSIXEX21UG135253,78,2021-5-12,817.66,replace diverter valve; replace timing belt tensioner; ,2021-6-8,1158173,user17
3LSIXEX21UG135253,172,2021-7-2,102.21,replace steering column lock; fix cylinder head bolts; ,2021-7-5,1237833,roland
3LSIXEX21UG135253,20,2021-7-31,204.42,add heated windshield; attach spoiler; ,2021-8-6,1398811,roland
3PO4C2PYJG2012419,60,2021-6-9,83.52,install turbocharger; replace timing belt tensioner; ,2021-6-15,6495,user30
3PO4C2PYJG2012419,10,2021-6-18,250.57,change air conditioner refrigerant; fix a-pillar; ,2021-6-27,42345,user13
3PO4C2PYJG2012419,89,2021-7-2,27.84,replace crankcase ventilation filter; ,2021-7-6,62484,user29
3PO4C2PYJG2012419,75,2021-7-12,27.84,adjust hybrid performance; replace water pump; ,2021-7-26,84292,user12
